;;;
Jahr;Ausgaben des Staates;;
;insgesamt;darunter;
;;Gebietskörperschaften³;Sozialversicherung³
;in Relation zum BIP in %;;
1960;32,9      ;21,7      ;11,2      
1965;37,1      ;25,4      ;11,6      
1970;38,5      ;26,1      ;12,4      
1975;48,8      ;31,2      ;17,7      
1980;46,9      ;29,6      ;17,3      
1985;45,2      ;27,8      ;17,4      
1990;43,6      ;27,3      ;16,4      
1991;46,5      ;29,2      ;17,4      
1992;47,4      ;28,8      ;18,5      
1993;48,3      ;29,1      ;19,2      
1994;48,3      ;28,9      ;19,4      
19954;48,8      ;28,8      ;20,0      
1995;55,2      ;35,2      ;20,0      
1996;49,6      ;28,7      ;20,8      
1997;48,8      ;28,1      ;20,6      
1998;48,3      ;27,8      ;20,5      
1999;48,5      ;28,0      ;20,5      
2000;48,1      ;27,7      ;20,4      
2001;47,7      ;27,2      ;20,4      
2002;48,2      ;27,4      ;20,8      
2003;48,5      ;27,4      ;21,1      
2004;47,0      ;26,6      ;20,3      
2005;46,9      ;26,9      ;19,9      
2006;45,3      ;26,3      ;19,0      
2007;43,5      ;25,4      ;18,2      
2008;44,4      ;26,2      ;18,2      
2009;48,3      ;28,2      ;20,0      
2010;48,1      ;28,7      ;19,4      
2011;45,3      ;26,8      ;18,5      
2012;45,1      ;26,6      ;18,4      
2013;45,2      ;26,5      ;18,6      
2014;44,5      ;25,9      ;18,5      
2015;44,5      ;25,8      ;18,7      
2016;44,7      ;26,0      ;18,7      
2017;44,6      ;25,8      ;18,8      
2018;44,7      ;25,9      ;18,8      
2019;45,6      ;26,3      ;19,3      
2020;51,1      ;29,6      ;21,5      
2021;50,7      ;29,7      ;21,0      
2022;49,0      ;29,0      ;20,1      
2023;48,4      ;29,0      ;19,4      
2024;49,7      ;29,4      ;20,2      
1 Bis 1990 früheres Bundesgebiet, ab 1991 Deutschland.;;;
"² Ausgaben des Staats in der Abgrenzung der Volkswirtschaftlichen Gesamtrechnung (VGR).  Ab 1991 in der Abgrenzung des Europäischen 
   Systems Volkswirtschaftlicher Gesamtrechnungen  (ESVG 2010). 
   2021 bis 2024: Vorläufiges Ergebnis; Stand: Mai 2025.";;;
³ Unmittelbare Ausgaben (ohne Ausgaben an andere staatliche Ebenen).  ;;;
"4 Ohne Schuldenübernahmen (Treuhandanstalt; Wohnungswirtschaft der DDR).";;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
